"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"87","RT @akstoneman: Northern Classic's Dubh Flynn #roughcollies #Dogs #DogsOfTwitter #collies #hikingadventures https://t.co/r0jVMg6a2I",FALSE,0,NA,2019-02-25 18:38:59,FALSE,NA,"1100102878050598912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ojibway_Faith",72,TRUE,FALSE,NA,NA
"88","Enjoying a sunny Monday with this golden boy.  #athensga #sunshine #monday #realtor #uga #dogsofinstagram #dogs https://t.co/oP3rccoc8k",FALSE,0,NA,2019-02-25 18:38:58,FALSE,NA,"1100102871356452865",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ourtownsells",0,FALSE,FALSE,NA,NA
"89","RT @Rupertdoo: Fun in the snow ❄️ #LoveACanine #doglife#dogsarefamily #dogloveshumans #dogattention #dogs #dogsoftwitter #DogCelebration #p…",FALSE,0,NA,2019-02-25 18:38:55,FALSE,NA,"1100102859419516936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","robin19921985",34,TRUE,FALSE,NA,NA
"90","image ~ #Dog #Dogs #Woof #Woofies #DogWoofies https://t.co/VVciHpexqW https://t.co/2OV5J5M9VO",FALSE,0,NA,2019-02-25 18:38:46,FALSE,NA,"1100102822060789760",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Dog_Woofies",0,FALSE,FALSE,NA,NA
"91","RT @res_pet: Lots of exciting developments in the works for $LRSV ! #pet #dogs #cats #CBD #Hemp. We look forward to updating shareholders v…",FALSE,0,NA,2019-02-25 18:38:35,FALSE,NA,"1100102777873801217",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Bosskazakboys02",56,TRUE,FALSE,NA,NA
"92","RT @AMY_WORDS: Soon out !
#photography #dogs #dogsoftwitter #balticsea #Ostsee #polarbear #ice #fotografie #animals #Weather #Wetter #Hunde…",FALSE,0,NA,2019-02-25 18:38:30,FALSE,NA,"1100102754658385922",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AMY_WORDS",112,TRUE,FALSE,NA,NA
"93","RT @AMY_WORDS: 🐶 Me - a few weeks old - hanging out in the sun - being super cute 🐶
                          So you better like me or i ea…",FALSE,0,NA,2019-02-25 18:38:22,FALSE,NA,"1100102722345410561",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AMY_WORDS",12,TRUE,FALSE,NA,NA
"94","RT @AMY_WORDS: Swedish old school cooking: 🥘
What do you want for dinner ?

#dogs #dogsoftwitter #dogsofinstagram #dogsarelove #cookingmast…",FALSE,0,NA,2019-02-25 18:38:13,FALSE,NA,"1100102685196455936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AMY_WORDS",19,TRUE,FALSE,NA,NA
"95","RT @SupportPets: @andibeth012 Please pass it on! So awesome! #ThatsWhatFriendsAreFor ! #ServiceDog #dogs #cats #horses all #animal Lovers #…",FALSE,0,NA,2019-02-25 18:38:06,FALSE,NA,"1100102655051845632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","andibeth012",2,TRUE,FALSE,NA,NA
"96","RT @AMY_WORDS: I worked hard on my new face expression !
                 I call it ""moon of steel"" 🌑
🐈💨 Cats are not coming to me anymore.…",FALSE,0,NA,2019-02-25 18:38:05,FALSE,NA,"1100102650538938368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AMY_WORDS",26,TRUE,FALSE,NA,NA
"97","RT @AMY_WORDS: Dirty paws in da woodz -makes me feel so goodz 🐾
-Amy the poet 2019-

#dogs #DogsofTwittter #dogsofinstagram #forest #wood #…",FALSE,0,NA,2019-02-25 18:37:56,FALSE,NA,"1100102614124032000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AMY_WORDS",16,TRUE,FALSE,NA,NA
"98","RT @MeowMiya88: Thank you for not looking away
#NYC #cats #dogs #SaveALife #SaveThemAll https://t.co/7h3nvtOy3J",FALSE,0,NA,2019-02-25 18:37:39,FALSE,NA,"1100102542518673408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SwiftWriter",76,TRUE,FALSE,NA,NA
"99",".@BellaAndDuke Complete Working Dog range gives active #dogs everything they need to maintain fitness Their Turkey… https://t.co/DvSGZ2jO3y",FALSE,0,NA,2019-02-25 18:37:21,TRUE,NA,"1100102464320221185",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","GoodVetGuide",0,FALSE,FALSE,NA,NA
"100","RT @res_pet: Lots of exciting developments in the works for $LRSV ! #pet #dogs #cats #CBD #Hemp. We look forward to updating shareholders v…",FALSE,0,NA,2019-02-25 18:36:55,FALSE,NA,"1100102356132347904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","np2ez4me",56,TRUE,FALSE,NA,NA
